Class,Precision,Recall,F1,Support
animal crossing,1.0,0.9090909090909091,0.9523809523809523,11
bumpy road,0.5185185185185185,0.7777777777777778,0.6222222222222222,18
cross road,1.0,0.95,0.9743589743589743,20
cycle crossing,1.0,1.0,1.0,11
gas station,1.0,1.0,1.0,10
give way,0.6875,0.9166666666666666,0.7857142857142857,12
height limit,0.5714285714285714,1.0,0.7272727272727273,12
hospital,1.0,1.0,1.0,10
no entry for vehicles,0.5384615384615384,0.7,0.608695652173913,10
no overtaking,0.0,0.0,0.0,10
no parking,0.42857142857142855,1.0,0.6,15
no pedestrians,1.0,0.3,0.4615384615384615,10
no stopping,0.9230769230769231,0.8571428571428571,0.888888888888889,14
no u turn,0.0,0.0,0.0,10
pedestrian crossing,0.6666666666666666,1.0,0.8,10
railway crossing,0.8333333333333334,0.5,0.625,10
road work ahead,0.625,1.0,0.7692307692307693,10
round about,1.0,0.1,0.18181818181818182,10
school zone,0.7777777777777778,1.0,0.8750000000000001,14
slippery road,0.35,0.4117647058823529,0.37837837837837834,17
speed limit,0.9166666666666666,0.7857142857142857,0.8461538461538461,14
steep ascent,1.0,0.1,0.18181818181818182,10
steep descent,0.0,0.0,0.0,10
stop,0.9285714285714286,1.0,0.962962962962963,13
weight limit,1.0,0.36363636363636365,0.5333333333333333,11
