Class,Top-1 Acc,Top-2 Acc,Top-3 Acc,Top-4 Acc,Top-5 Acc
animal crossing,0.9090909090909091,1.0,1.0,1.0,1.0
bumpy road,0.7777777777777778,0.8333333333333334,0.8888888888888888,0.8888888888888888,1.0
cross road,0.95,0.95,1.0,1.0,1.0
cycle crossing,1.0,1.0,1.0,1.0,1.0
gas station,1.0,1.0,1.0,1.0,1.0
give way,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0
height limit,1.0,1.0,1.0,1.0,1.0
hospital,1.0,1.0,1.0,1.0,1.0
no entry for vehicles,0.7,0.9,1.0,1.0,1.0
no overtaking,0.0,1.0,1.0,1.0,1.0
no parking,1.0,1.0,1.0,1.0,1.0
no pedestrians,0.3,0.7,1.0,1.0,1.0
no stopping,0.8571428571428571,0.9285714285714286,1.0,1.0,1.0
no u turn,0.0,0.3,0.5,1.0,1.0
pedestrian crossing,1.0,1.0,1.0,1.0,1.0
railway crossing,0.5,0.7,0.8,0.9,0.9
road work ahead,1.0,1.0,1.0,1.0,1.0
round about,0.1,0.3,0.6,0.8,0.8
school zone,1.0,1.0,1.0,1.0,1.0
slippery road,0.4117647058823529,0.5294117647058824,0.6470588235294118,0.9411764705882353,1.0
speed limit,0.7857142857142857,1.0,1.0,1.0,1.0
steep ascent,0.1,0.1,0.1,0.3,0.3
steep descent,0.0,0.1,0.2,0.4,0.6
stop,1.0,1.0,1.0,1.0,1.0
weight limit,0.36363636363636365,0.8181818181818182,1.0,1.0,1.0
