Class,Top-1 Acc,Top-2 Acc,Top-3 Acc,Top-4 Acc,Top-5 Acc
animal crossing,1.0,1.0,1.0,1.0,1.0
bumpy road,0.0,0.2727272727272727,0.7272727272727273,0.9090909090909091,0.9090909090909091
cross road,1.0,1.0,1.0,1.0,1.0
cycle crossing,1.0,1.0,1.0,1.0,1.0
gas station,1.0,1.0,1.0,1.0,1.0
give way,1.0,1.0,1.0,1.0,1.0
height limit,0.0,0.9166666666666666,1.0,1.0,1.0
hospital,1.0,1.0,1.0,1.0,1.0
no entry for vehicles,0.6666666666666666,1.0,1.0,1.0,1.0
no overtaking,0.8333333333333334,0.9166666666666666,1.0,1.0,1.0
no parking,1.0,1.0,1.0,1.0,1.0
no pedestrians,1.0,1.0,1.0,1.0,1.0
no stopping,0.5714285714285714,1.0,1.0,1.0,1.0
no u turn,0.5454545454545454,0.9090909090909091,1.0,1.0,1.0
pedestrian crossing,1.0,1.0,1.0,1.0,1.0
railway crossing,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666
road work ahead,1.0,1.0,1.0,1.0,1.0
round about,1.0,1.0,1.0,1.0,1.0
school zone,1.0,1.0,1.0,1.0,1.0
slippery road,1.0,1.0,1.0,1.0,1.0
speed limit,1.0,1.0,1.0,1.0,1.0
steep ascent,1.0,1.0,1.0,1.0,1.0
steep descent,0.0,1.0,1.0,1.0,1.0
stop,1.0,1.0,1.0,1.0,1.0
weight limit,0.8333333333333334,1.0,1.0,1.0,1.0
