Class,Precision,Recall,F1,Support
animal crossing,1.0,0.9,0.9473684210526316,10
bumpy road,0.0,0.0,0.0,10
cross road,1.0,0.3,0.4615384615384615,10
cycle crossing,1.0,1.0,1.0,20
dip,0.0,0.0,0.0,10
gas station,1.0,1.0,1.0,10
give way,1.0,1.0,1.0,20
height limit,1.0,0.1,0.18181818181818182,10
hospital,1.0,1.0,1.0,10
left turn,0.6666666666666666,1.0,0.8,20
narrow roads ahead,0.18867924528301888,1.0,0.3174603174603175,10
no entry for vehicles,0.9333333333333333,0.7,0.8,20
no overtaking,0.8636363636363636,0.95,0.9047619047619048,20
no parking,0.5,1.0,0.6666666666666666,10
no pedestrians,1.0,1.0,1.0,10
no proceed straight,0.0,0.0,0.0,0
no stopping,1.0,0.5,0.6666666666666666,20
no u turn,1.0,0.85,0.9189189189189189,20
pedestrian crossing,1.0,1.0,1.0,20
railway crossing,1.0,0.95,0.9743589743589743,20
right turn,1.0,0.5,0.6666666666666666,20
road work ahead,1.0,1.0,1.0,16
round about,1.0,1.0,1.0,10
school zone,1.0,1.0,1.0,20
slippery road,0.0,0.0,0.0,10
speed limit,1.0,0.55,0.7096774193548387,20
steep ascent,0.6666666666666666,0.6666666666666666,0.6666666666666666,12
steep descent,0.875,0.7,0.7777777777777777,20
stop,0.7692307692307693,1.0,0.8695652173913044,20
weight limit,0.2631578947368421,1.0,0.4166666666666667,10
width limit,0.0,0.0,0.0,10
