Class,Precision,Recall,F1,Support
animal crossing,1.0,1.0,1.0,10
bumpy road,1.0,0.8,0.888888888888889,10
cross road,1.0,1.0,1.0,10
cycle crossing,1.0,1.0,1.0,25
gas station,1.0,1.0,1.0,10
give way,1.0,1.0,1.0,25
height limit,0.0,0.0,0.0,10
hospital,1.0,1.0,1.0,10
no entry for vehicles,1.0,0.8,0.888888888888889,25
no overtaking,0.8620689655172413,1.0,0.9259259259259259,25
no parking,0.4,1.0,0.5714285714285715,10
no pedestrians,1.0,1.0,1.0,10
no stopping,1.0,0.4,0.5714285714285715,25
no u turn,1.0,0.84,0.9130434782608696,25
pedestrian crossing,0.7741935483870968,0.96,0.8571428571428571,25
railway crossing,0.9166666666666666,0.88,0.8979591836734694,25
road work ahead,0.875,0.6666666666666666,0.7567567567567567,21
round about,1.0,1.0,1.0,10
school zone,1.0,1.0,1.0,25
slippery road,1.0,0.9,0.9473684210526316,10
speed limit,1.0,0.56,0.717948717948718,25
steep ascent,0.7857142857142857,0.6470588235294118,0.7096774193548386,17
steep descent,0.7741935483870968,0.96,0.8571428571428571,25
stop,0.8333333333333334,1.0,0.9090909090909091,25
weight limit,0.3225806451612903,1.0,0.4878048780487805,10
