Class,Top-1 Acc,Top-2 Acc,Top-3 Acc,Top-4 Acc,Top-5 Acc
animal crossing,0.9090909090909091,1.0,1.0,1.0,1.0
bumpy road,0.8888888888888888,0.9444444444444444,1.0,1.0,1.0
cross road,1.0,1.0,1.0,1.0,1.0
cycle crossing,1.0,1.0,1.0,1.0,1.0
dip,0.1,0.9,0.9,1.0,1.0
gas station,1.0,1.0,1.0,1.0,1.0
give way,0.8333333333333334,1.0,1.0,1.0,1.0
height limit,1.0,1.0,1.0,1.0,1.0
hospital,1.0,1.0,1.0,1.0,1.0
left turn,0.07692307692307693,0.46153846153846156,1.0,1.0,1.0
narrow roads ahead,0.0,0.0,0.0,0.0,0.0
no entry for vehicles,0.9,1.0,1.0,1.0,1.0
no overtaking,0.0,0.1,1.0,1.0,1.0
no parking,0.4666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0
no pedestrians,0.8,0.9,1.0,1.0,1.0
no stopping,1.0,1.0,1.0,1.0,1.0
no u turn,0.1,0.2,0.5,0.8,0.9
pedestrian crossing,0.9,1.0,1.0,1.0,1.0
railway crossing,0.8,1.0,1.0,1.0,1.0
right turn,0.0,0.18181818181818182,0.2727272727272727,1.0,1.0
road work ahead,0.9,1.0,1.0,1.0,1.0
round about,0.7,0.7,0.9,0.9,0.9
school zone,1.0,1.0,1.0,1.0,1.0
slippery road,0.5294117647058824,1.0,1.0,1.0,1.0
speed limit,0.5714285714285714,0.9285714285714286,1.0,1.0,1.0
steep ascent,0.0,0.0,0.0,0.1,0.2
steep descent,0.0,0.0,0.1,0.4,0.7
stop,1.0,1.0,1.0,1.0,1.0
weight limit,0.09090909090909091,1.0,1.0,1.0,1.0
width limit,0.0,0.0,1.0,1.0,1.0
